Time,KillerX,KillerY,KillerZ,VictimX,VictimY,VictimZ
1451435009,703.121459,1924.377929,-65.629692,703.121459,1924.377929,-65.629692
1451435013,1546.312377,1770.392456,-127.968750,1943.735107,2483.660644,-127.968750
1451435017,1736.347900,1599.585205,-135.968750,1615.790527,1767.968750,-127.968750
1451435027,430.448272,3259.006347,-127.968750,518.540527,3628.952392,-127.968750
1451435058,494.808746,2543.897216,-127.968750,-84.695205,2689.979736,-18.920011
1451435068,1652.569335,2487.297363,-127.968750,1243.585937,2204.340332,-127.968750
1451441447,704.264648,4059.282958,145.028152,770.239501,3931.958251,128.031250
1451441461,1688.161010,891.435852,64.031250,1874.969238,938.490234,86.413475
1451441469,1767.925048,-232.321945,75.026023,1697.339965,-282.431182,64.031250
1451441478,766.897033,2381.980468,-100.838256,728.031250,2811.344726,-120.458900
1451441484,807.612792,2351.213134,-127.968750,595.760803,2531.832031,-127.968750
1451441488,280.251831,2532.459228,-127.968750,550.716979,2521.211181,-127.968750
1451441494,283.764129,2780.086914,-127.968750,229.081726,2928.101806,-127.968750
1451441503,900.962280,2967.995361,-127.968750,852.931030,2944.073730,-74.456916
1451441509,250.606384,3701.139648,-127.968750,408.658264,3223.577392,-127.968750
1451441512,1023.451232,3317.993896,169.499237,897.575439,3544.622802,128.031250
1451441518,285.365203,4086.011230,-14.175565,157.109466,3656.184082,-127.968750
1451441520,233.451568,3325.023193,-127.968750,489.362121,3664.666503,-127.968750
1451441531,377.024749,3337.857910,-127.968750,127.203598,3377.110595,-127.968750
1451441533,89.720535,3405.766357,-127.968750,-319.944396,3512.699218,19.041759
1451441539,560.144287,3667.611328,276.105346,880.048583,3531.344726,128.031250
1451441555,537.722595,4146.963378,128.031250,270.113250,3894.313720,72.202033
1451441555,270.113250,3894.313720,72.202033,537.722595,4146.963378,128.031250
1451441555,1539.421020,2565.618408,128.031250,1594.175537,2503.150878,128.031250
1451441564,719.648315,3449.771240,159.873687,913.232299,3313.038818,128.031250
1451441568,1813.757568,1890.143554,128.031250,1919.519287,1983.829589,128.031250
1451441571,690.300720,3319.783203,128.031250,698.404541,3231.518798,165.078918
1451441572,1612.442504,2364.330566,128.031250,1583.010986,2493.522705,128.031250
1451441580,1574.624389,2665.856445,165.480163,1505.107177,2921.381835,128.031250
1451441589,1805.137695,2856.031250,128.031250,1778.648315,2140.337158,157.778594
1451441592,2169.087158,2172.968017,128.031250,1944.088623,2112.433349,128.031250
1451441598,1698.591674,2489.168457,-127.968750,1466.318481,2294.979492,-127.968750
1451441603,1159.744018,2356.231445,-127.968750,1529.675781,2538.310546,-127.968750
1451441612,1384.981689,3313.690673,128.031250,1144.406616,3410.358154,189.037399
1451441613,1539.812988,3303.871093,173.019531,1471.485229,3299.931884,128.031250
1451441614,1841.041625,3266.379638,170.169082,1496.002929,3447.831054,128.031250
1451441619,1717.536987,3139.717285,128.031250,1524.477294,3174.266113,171.355499
1451441627,1038.785034,3356.103271,128.031250,815.545715,3382.566650,128.031250
1451441644,1955.840576,2733.250976,-16.479635,1955.968750,2728.031250,168.584350
1451441651,764.669921,2802.811279,-127.968750,864.000000,3456.000000,-127.968750
1451441657,616.031250,3186.345458,-89.259841,429.416229,3184.881591,-127.968750
1451441662,-514.821960,3579.584228,-127.968750,-538.839538,3496.060058,-127.968750
1451441663,-537.403686,3364.847167,-127.968750,-345.201171,3133.450195,-83.135375
1451441678,1582.340942,2215.107910,-127.968750,1529.703002,2197.685791,-127.968750
1451441684,1916.592041,1509.927612,64.031250,1926.982177,1192.937500,64.031250
1451441686,378.732482,2537.273193,-127.968750,496.961090,2549.989013,-127.968750
1451441705,320.000000,3872.599121,-127.968750,320.000000,3872.599121,-127.968750
1451441715,1728.410400,2746.215820,128.031250,1313.747924,2111.058349,172.695190
1451441720,1842.760131,3390.853027,128.031250,1646.776245,3253.455810,161.415405
1451441735,462.578338,4032.703857,156.288467,239.300888,4133.559082,128.031250
1451441740,1142.591308,2515.884277,128.031250,1071.467407,2121.481201,128.031250
